Region,Crop,Season,Soil_Type,Yield
East Champaran,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Gaya,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Gopalganj,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Jamui,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Jehanabad,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Khagaria,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Kishanganj,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Kaimur,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Katihar,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Lakhisarai,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Madhepura,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Madhubani,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Munger,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Muzaffarpur,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Nalanda,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Nawada,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Patna,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Purnia,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Rohtas,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Saharsa,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Samastipur,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Sheohar,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Sheikhpura,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Saran,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Sitamarhi,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Supaul,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Siwan,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Vaishali,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
West Champaran,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Alipurduar,"Rice, Tea, Jute","Kharif & Rabi","Alluvial soils","High"
Bankura,"Paddy, Mustard, Pulses","Kharif & Rabi","Lateritic soils","Medium"
Birbhum,"Paddy, Mustard, Pulses","Kharif & Rabi","Lateritic soils","Medium"
Cooch Behar,"Rice, Jute, Tea","Kharif & Rabi","Alluvial soils","High"
Dakshin Dinajpur,"Rice, Jute, Potato","Kharif & Rabi","Alluvial soils","High"
Darjeeling,"Tea, Rice, Potato","Kharif & Rabi","Hill soils","Medium"
Hooghly,"Rice, Potato, Jute","Kharif & Rabi","Alluvial soils","High"
Howrah,"Rice, Potato, Vegetables","Kharif & Rabi","Alluvial soils","High"
Jalpaiguri,"Rice, Jute, Tea","Kharif & Rabi","Alluvial soils","High"
Jhargram,"Paddy, Groundnut","Kharif & Rabi","Lateritic soils","Medium"
Kalimpong,"Tea, Rice","Kharif & Rabi","Hill soils","Medium"
Kolkata,"Urban horticulture","N/A","Urban alluvial soils","N/A"
Malda,"Rice, Mango, Jute","Kharif & Rabi","Alluvial soils","High"
Murshidabad,"Rice, Jute, Sugarcane","Kharif & Rabi","Alluvial soils","High"
Nadia,"Rice, Jute, Potato","Kharif & Rabi","Alluvial soils","High"
North 24 Parganas,"Rice, Jute, Potato","Kharif & Rabi","Alluvial soils","High"
Paschim Bardhaman,"Rice, Potato, Wheat","Kharif & Rabi","Alluvial soils","High"
Purba Bardhaman,"Rice, Potato, Mustard","Kharif & Rabi","Alluvial soils","High"
Paschim Medinipur,"Rice, Jute, Groundnut","Kharif & Rabi","Lateritic soils","Medium"
Purba Medinipur,"Rice, Jute, Vegetables","Kharif & Rabi","Alluvial soils","High"
Purulia,"Rice, Mustard, Pulses","Kharif & Rabi","Lateritic soils","Medium"
South 24 Parganas,"Rice, Jute","Kharif & Rabi","Saline alluvial soils","Medium"
Uttar Dinajpur,"Rice, Jute","Kharif & Rabi","Alluvial soils","High"
Ariyalur,"Rice, Sugarcane, Maize, Groundnut","Kharif & Rabi","Red loam soils","Medium"
Chengalpattu,"Rice, Sugarcane, Groundnut, Pulses","Kharif & Rabi","Alluvial soils","Medium"
Chennai,"Urban horticulture","N/A","Urban coastal alluvium","N/A"
Coimbatore,"Cotton, Rice, Maize, Banana","Kharif & Rabi","Red and black mixed soils","Medium"
Cuddalore,"Rice, Sugarcane, Groundnut, Cotton","Kharif & Rabi","Alluvial and coastal sands","Medium"
Dharmapuri,"Millets, Pulses, Groundnut, Maize","Kharif & Rabi","Red soils","Medium"
Dindigul,"Pulses, Rice, Maize, Groundnut","Kharif & Rabi","Red loam soils","Medium"
Erode,"Turmeric, Maize, Rice, Cotton","Kharif & Rabi","Red soils","Medium"
Kallakurichi,"Rice, Sugarcane, Maize, Pulses","Kharif & Rabi","Red loam soils","Medium"
Kancheepuram,"Rice, Groundnut, Pulses, Coconut","Kharif & Rabi","Alluvial soils","Medium"
Kanniyakumari,"Banana, Coconut, Rubber, Rice","Kharif & Rabi","Lateritic and coastal soils","Medium"
Karur,"Banana, Tapioca, Rice, Cotton","Kharif & Rabi","Red loam soils","Medium"
Krishnagiri,"Mango, Rice, Millets, Pulses","Kharif & Rabi","Red soils","Medium"
Madurai,"Rice, Cotton, Maize, Groundnut","Kharif & Rabi","Red loam soils","Medium"
Mayiladuthurai,"Rice, Sugarcane, Banana, Coconut","Kharif & Rabi","Alluvial soils","Medium"
Nagapattinam,"Rice, Sugarcane, Coconut, Banana","Kharif & Rabi","Deltaic alluvial soils","Medium"
Namakkal,"Tapioca, Maize, Rice, Pulses","Kharif & Rabi","Red loam soils","Medium"
Nilgiris,"Tea, Coffee, Vegetables","Kharif & Rabi","Mountainous brown soils","Medium"
Perambalur,"Rice, Groundnut, Maize, Cotton","Kharif & Rabi","Red and black mixed soils","Medium"
Pudukkottai,"Rice, Maize, Groundnut, Pulses","Kharif & Rabi","Red loam soils","Medium"
Ramanathapuram,"Millets, Pulses, Groundnut","Kharif & Rabi","Sandy coastal soils","Medium"
Ranipet,"Rice, Groundnut, Sugarcane, Pulses","Kharif & Rabi","Alluvial soils","Medium"
Salem,"Millets, Pulses, Groundnut, Cotton","Kharif & Rabi","Red loam soils","Medium"
Sivaganga,"Millets, Rice, Groundnut, Pulses","Kharif & Rabi","Red loam soils","Medium"
Tenkasi,"Rice, Sugarcane, Banana, Coconut","Kharif & Rabi","Alluvial and laterite soils","Medium"
Thanjavur,"Rice, Sugarcane, Coconut, Banana","Kharif & Rabi","Deltaic alluvial soils","Medium"
Theni,"Cardamom, Rice, Cotton, Pulses","Kharif & Rabi","Red loam soils","Medium"
Thoothukudi,"Millets, Pulses, Groundnut","Kharif & Rabi","Coastal sandy soils","Medium"
Tiruchirappalli,"Rice, Sugarcane, Cotton, Groundnut","Kharif & Rabi","Alluvial soils","Medium"
Tirunelveli,"Rice, Banana, Coconut, Pulses","Kharif & Rabi","Lateritic and coastal soils","Medium"
Tirupathur,"Millets, Pulses, Groundnut","Kharif & Rabi","Red loam soils","Medium"
Tiruppur,"Cotton, Rice, Maize, Groundnut","Kharif & Rabi","Red and black mixed soils","Medium"
Tiruvallur,"Rice, Groundnut, Pulses","Kharif & Rabi","Alluvial soils","Medium"
Tiruvannamalai,"Rice, Groundnut, Pulses","Kharif & Rabi","Red loam soils","Medium"
Tiruvarur,"Rice, Sugarcane, Coconut, Banana","Kharif & Rabi","Deltaic alluvial soils","Medium"
Vellore,"Rice, Groundnut, Pulses, Cotton","Kharif & Rabi","Red loam soils","Medium"
Viluppuram,"Rice, Pulses, Groundnut","Kharif & Rabi","Red loam soils","Medium"
Virudhunagar,"Millets, Pulses, Groundnut","Kharif & Rabi","Red loam soils","Medium"
Bagalkot,"Cotton, Groundnut, Jowar","Kharif & Rabi","Black soil (Regur)","High"
Bengaluru Rural,"Ragi, Maize, Groundnut","Kharif & Rabi","Red soil","Medium"
Bengaluru Urban,"Vegetables, Floriculture, Ragi","Kharif & Rabi","Red soil","Medium"
Belagavi,"Sugarcane, Paddy, Maize","Kharif & Rabi","Laterite soil","Medium‑Low"
Bellary,"Cotton, Groundnut, Horsegram","Kharif & Rabi","Mixed red and black soil","Medium"
Bidar,"Sorghum, Pigeon pea, Maize","Kharif & Rabi","Black soil (Regur)","High"
Vijayapura (Bijapur),"Jowar, Bajra, Cotton","Kharif & Rabi","Black soil (Regur)","High"
Chamarajanagar,"Ragi, Maize, Jowar","Kharif & Rabi","Laterite soil","Medium‑Low"
Chikkaballapur,"Groundnut, Maize, Ragi","Kharif & Rabi","Red soil","Medium"
Chikkamagaluru,"Coffee, Pepper, Areca nut","Kharif & Rabi","Lateritic black soil","Medium‑Low"
Chitradurga,"Groundnut, Jowar, Sunflower","Kharif & Rabi","Mixed red and black soil","Medium"
Dakshina Kannada,"Paddy, Coconut, Areca nut","Kharif & Rabi","Coastal alluvial soil","High"
Davanagere,"Soybean, Cotton, Maize","Kharif & Rabi","Black soil (Regur)","High"
Dharwad,"Cotton, Groundnut, Sorghum","Kharif & Rabi","Black soil (Regur)","High"
Gadag,"Jowar, Groundnut, Pulses","Kharif & Rabi","Black soil (Regur)","High"
Gulbarga (Kalaburagi),"Bajra, Sorghum, Tur","Kharif & Rabi","Black soil (Regur)","High"
Hassan,"Coffee, Pepper, Paddy","Kharif & Rabi","Laterite soil","Medium‑Low"
Haveri,"Cotton, Groundnut, Maize","Kharif & Rabi","Black soil (Regur)","High"
Kodagu,"Coffee, Tea, Spices","Kharif & Rabi","Forest/Laterite soil","Medium‑Low"
Kolar,"Pomegranate, Ragi, Groundnut","Kharif & Rabi","Red soil","Medium"
Koppal,"Jowar, Cotton, Pigeon pea","Kharif & Rabi","Black soil (Regur)","High"
Mandya,"Sugarcane, Paddy, Banana","Kharif & Rabi","Black soil (Regur)","High"
Mysuru,"Ragi, Maize, Groundnut","Kharif & Rabi","Red soil","Medium"
Raichur,"Pigeon pea, Jowar, Rice","Kharif & Rabi","Black soil (Regur)","High"
Ramanagara,"Ragi, Millets, Groundnut","Kharif & Rabi","Red soil","Medium"
Shimoga (Shivamogga),"Areca nut, Paddy, Cocoa","Kharif & Rabi","Laterite soil","Medium‑Low"
Tumakuru,"Groundnut, Ragi, Maize","Kharif & Rabi","Red soil","Medium"
Udupi,"Paddy, Coconut, Cashew","Kharif & Rabi","Coastal alluvial soil","High"
Uttara Kannada,"Paddy, Coconut, Areca nut","Kharif & Rabi","Coastal lateritic/alluvial","Medium‑Low"
Vijayanagara,"Cotton, Rice, Jowar","Kharif & Rabi","Black soil (Regur)","High"
Yadgir,"Sorghum, Pigeon pea, Groundnut","Kharif & Rabi","Black soil (Regur)","High"
Alluri Sitharama Raju,"Rice, Millets","Kharif & Rabi","Lateritic soils","Medium‑Low"
Anakapalli,"Rice, Pulses","Kharif & Rabi","Alluvial soils","High"
Anantapur,"Jowar, Groundnut","Kharif & Rabi","Black cotton soils","High"
Annamayya,"Jowar, Groundnut","Kharif & Rabi","Black cotton soils","High"
Bapatla,"Rice, Maize","Kharif & Rabi","Alluvial soils","High"
Chittoor,"Rice, Pulses","Kharif & Rabi","Black cotton soils","High"
East Godavari,"Rice, Coconut","Kharif & Rabi","Alluvial soils","High"
Eluru,"Rice, Sugarcane","Kharif & Rabi","Alluvial soils","High"
Guntur,"Rice, Chillies","Kharif & Rabi","Alluvial soils","High"
Kadapa (YSR Kadapa),"Rice, Maize","Kharif & Rabi","Black cotton soils","High"
Kakinada,"Rice, Pulses","Kharif & Rabi","Alluvial soils","High"
Konaseema,"Rice, Coconut","Kharif & Rabi","Alluvial soils","High"
Krishna,"Rice, Sugarcane","Kharif & Rabi","Alluvial soils","High"
Kurnool,"Jowar, Groundnut","Kharif & Rabi","Black cotton soils","High"
NTR (Vijayawada),"Rice, Banana","Kharif & Rabi","Alluvial soils","High"
Nandyal,"Jowar, Groundnut","Kharif & Rabi","Black cotton soils","High"
Nellore,"Rice, Sugarcane","Kharif & Rabi","Alluvial soils","High"
Palnadu,"Rice, Pulses","Kharif & Rabi","Mixed red and black soils","Medium"
Parvathipuram Manyam,"Rice, Maize","Kharif & Rabi","Alluvial soils","High"
Prakasam,"Rice, Tobacco","Kharif & Rabi","Alluvial soils","High"
Sri Sathya Sai,"Jowar, Groundnut","Kharif & Rabi","Black cotton soils","High"
Srikakulam,"Rice, Pulses","Kharif & Rabi","Alluvial soils","High"
Tirupati,"Rice, Pulses","Kharif & Rabi","Black cotton soils","High"
Visakhapatnam,"Rice, Pulses","Kharif & Rabi","Alluvial soils","High"
Vizianagaram,"Rice, Pulses","Kharif & Rabi","Alluvial soils","High"
West Godavari,"Rice, Sugarcane","Kharif & Rabi","Alluvial soils","High"
Angul,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Mixed red and alluvial soils","Medium"
Balangir,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Red soils","Medium"
Balasore,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Bargarh,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Red soils","Medium"
Bhadrak,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Boudh,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Red soils","Medium"
Cuttack,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Deogarh,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Red soils","Medium"
Dhenkanal,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Red soils","Medium"
Gajapati,"Rice, Maize, Pulses","Kharif & Rabi","Forest/lateritic soils","Low"
Ganjam,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Mixed red and alluvial soils","Medium"
Jagatsinghpur,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Jajpur,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Jharsuguda,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Red soils","Medium"
Kalahandi,"Rice, Maize, Pulses","Kharif & Rabi","Forest/lateritic soils","Low"
Kandhamal,"Rice, Maize, Pulses","Kharif & Rabi","Forest/lateritic soils","Low"
Kendrapara,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Keonjhar,"Rice, Maize, Pulses","Kharif & Rabi","Forest/lateritic soils","Low"
Khordha,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Koraput,"Rice, Maize, Pulses","Kharif & Rabi","Forest/lateritic soils","Low"
Malkangiri,"Rice, Maize, Pulses","Kharif & Rabi","Forest/lateritic soils","Low"
Mayurbhanj,"Rice, Maize, Pulses","Kharif & Rabi","Forest/lateritic soils","Low"
Nabarangpur,"Rice, Maize, Pulses","Kharif & Rabi","Forest/lateritic soils","Low"
Nuapada,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Red soils","Medium"
Puri,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Rayagada,"Rice, Maize, Pulses","Kharif & Rabi","Forest/lateritic soils","Low"
Sambalpur,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Red soils","Medium"
Subarnapur,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Red soils","Medium"
Sundargarh,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Red soils","Medium"
Adilabad,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Mixed red and black soils","Medium"
Kumuram Bheem Asifabad,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Laterite soils","Medium‑Low"
Mancherial,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Black soils (Regur)","High"
Nirmal,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Black soils (Regur)","High"
Nizamabad,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Black soils (Regur)","High"
Jagtial,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Black soils (Regur)","High"
Peddapalli,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Red soils","Medium"
Kamareddy,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Black soils (Regur)","High"
Rajanna Sircilla,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Mixed red and black soils","Medium"
Karimnagar,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Black soils (Regur)","High"
Jayashankar Bhupalpally,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Laterite soils","Medium‑Low"
Sangareddy,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Mixed red and black soils","Medium"
Medak,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Red soils","Medium"
Siddipet,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Black soils (Regur)","High"
Jangaon,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Mixed red and black soils","Medium"
Hanumakonda,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Red soils","Medium"
Warangal,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Black soils (Regur)","High"
Mulugu,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Laterite soils","Medium‑Low"
Bhadradri Kothagudem,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Laterite soils","Medium‑Low"
Khammam,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Alluvial soils","High"
Mahabubabad,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Laterite soils","Medium‑Low"
Suryapet,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Alluvial soils","High"
Nalgonda,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Alluvial soils","High"
Yadadri Bhuvanagiri,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Alluvial soils","High"
Medchal–Malkajgiri,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Urban soils","N/A"
Hyderabad,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Urban soils","N/A"
Ranga Reddy,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Red soils","Medium"
Vikarabad,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Red soils","Medium"
Narayanpet,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Red soils","Medium"
Mahabubnagar,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Red soils","Medium"
Nagarkurnool,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Red soils","Medium"
Wanaparthy,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Red soils","Medium"
Jogulamba Gadwal,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Laterite soils","Medium‑Low"
Thiruvananthapuram,"Coconut, Rubber, Banana, Paddy","Kharif & Rabi","Lateritic soils","Medium"
Kollam,"Cashew, Coconut, Tapioca","Kharif & Rabi","Lateritic coastal soils","Medium"
Pathanamthitta,"Rubber, Paddy, Tapioca, Pepper","Kharif & Rabi","Lateritic soils","Medium"  
Alappuzha,"Paddy, Coconut","Kharif & Rabi","Coastal alluvial soils","High"
Kottayam,"Rubber, Spices, Cardamom, Paddy","Kharif & Rabi","Lateritic soils","Medium"
Idukki,"Tea, Cardamom, Coffee, Pepper","Kharif & Rabi","Forest and lateritic soils","Low"
Ernakulam,"Coconut, Rice, Pineapple","Kharif & Rabi","Lateritic soils","Medium"
Thrissur,"Rice, Coconut, Banana","Kharif & Rabi","Lateritic soils","Medium"
Palakkad,"Paddy, Coconut, Banana, Tapioca","Kharif & Rabi","Mixed alluvium","High"
Malappuram,"Coconut, Paddy, Banana","Kharif & Rabi","Lateritic soils","Medium"
Kozhikode,"Coconut, Areca nut, Banana","Kharif & Rabi","Lateritic soils","Medium"
Wayanad,"Coffee, Pepper, Tea, Cardamom","Kharif & Rabi","Forest soils","Low"
Kannur,"Cashew, Coconut, Pepper","Kharif & Rabi","Lateritic soils","Medium"
Kasaragod,"Coconut, Paddy, Areca nut","Kharif & Rabi","Coastal alluvial soils","High"
Bokaro,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Chatra,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Deoghar,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Dhanbad,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Dumka,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
East Singhbhum,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Garhwa,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Giridih,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Godda,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Gumla,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Hazaribagh,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Jamtara,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Khunti,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Koderma,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Latehar,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Lohardaga,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Pakur,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Palamu,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Ramgarh,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Ranchi,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Sahibganj,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Seraikela Kharsawan,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Simdega,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
West Singhbhum,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Baksa,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Bajali,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
